date,open,high,low,close,volume,value,board
2008-05-23,0.224,0.224,0.1997,0.1997,200,42.37,EQNE
2008-05-26,0.224,0.224,0.169,0.1794,435100,75700.24,EQNE
2008-05-27,0.195,0.195,0.15,0.17,6447800,1083322.79,EQNE
2008-05-28,0.175,0.175,0.1699,0.172,426500,73946.07,EQNE
2008-05-29,0.1747,0.1747,0.1697,0.17,2405500,410241.31,EQNE
2008-05-30,0.1747,0.1987,0.168,0.1787,82800,15297.52,EQNE
2008-06-02,0.205,0.205,0.1607,0.17,60500,10046.38,EQNE
2008-06-03,0.1699,0.1749,0.1612,0.1675,613400,102874.71,EQNE
2008-06-04,0.1777,0.1777,0.1569,0.1695,515200,83826.48,EQNE
2008-06-05,0.166,0.1696,0.164,0.1689,7343000,1212904.83,EQNE
2008-06-06,0.1715,0.184,0.1652,0.1789,3088100,539078.94,EQNE
2008-06-07,0.1652,0.1725,0.1652,0.1724,42200,6976.27,EQNE
2008-06-09,0.1749,0.1749,0.164,0.1728,1161700,195098,EQNE
2008-06-10,0.1658,0.17,0.1658,0.17,401500,68250.75,EQNE
2008-06-11,0.17,0.1759,0.16,0.1751,3965600,664926.65,EQNE
2008-06-16,0.17,0.1732,0.168,0.1732,383300,65335,EQNE
2008-06-17,0.1719,0.1783,0.17,0.178,3809100,663426.8,EQNE
2008-06-18,0.1794,0.1799,0.17,0.1725,883200,157209.57,EQNE
2008-06-19,0.17,0.18,0.161,0.1798,11187100,1951460.12,EQNE
2008-06-20,0.18,0.18,0.17,0.1739,749300,127825.73,EQNE
2008-06-23,0.1735,0.175,0.1703,0.174,3232400,561949.97,EQNE
2008-06-24,0.174,0.175,0.17,0.1729,808100,138468.88,EQNE
2008-06-25,0.1701,0.1729,0.17,0.1701,6109500,1046281.21,EQNE
2008-06-26,0.17,0.1711,0.17,0.17,9735900,1655142.51,EQNE
2008-06-27,0.17,0.1725,0.1601,0.1721,4497300,761255.24,EQNE
2008-06-30,0.1735,0.1735,0.1602,0.166,5027700,842797.08,EQNE
2008-07-01,0.1699,0.1699,0.16,0.1628,2141400,351077.35,EQNE
2008-07-02,0.158,0.165,0.1552,0.165,443500,71994.6,EQNE
2008-07-03,0.163,0.17,0.156,0.16,6990900,1135552.3,EQNE
2008-07-04,0.1601,0.165,0.1551,0.1599,1229900,195300.43,EQNE
2008-07-07,0.1599,0.169,0.1599,0.16,437300,71539.04,EQNE
2008-07-08,0.16,0.16,0.155,0.1594,1341300,208514.23,EQNE
2008-07-09,0.154,0.16,0.1501,0.16,1559600,246421.23,EQNE
