date,open,high,low,close,volume,value,board
2023-12-15,14.6,14.9,12.33,12.505,235374000,3084380873,TQBR
2023-12-18,12.6,13.1,12.55,12.9,122471200,1578800595.5,TQBR
2023-12-19,12.925,13.06,12.55,12.61,40704700,518997169,TQBR
2023-12-20,12.64,12.905,12.55,12.805,30497500,387314486,TQBR
2023-12-21,12.805,13.29,12.71,13.16,52074600,679410689.5,TQBR
2023-12-22,13.24,13.795,13.16,13.71,55191300,749686421,TQBR
2023-12-25,13.8,14.335,13.31,13.5,53860800,745150100.5,TQBR
2023-12-26,13.75,13.765,13.4,13.52,16156300,219021571,TQBR
2023-12-27,13.65,13.7,13.505,13.655,15586800,212196940.5,TQBR
2023-12-28,13.66,13.9,13.5,13.605,28859900,395605262,TQBR
2023-12-29,13.665,13.785,13.6,13.7,9784100,133784108,TQBR
2024-01-03,13.71,14.3,13.71,14.245,15686700,220245328.5,TQBR
2024-01-04,14.5,14.5,14.045,14.155,9865300,140108905.5,TQBR
2024-01-05,14.195,14.3,14.05,14.185,6228600,88174313.5,TQBR
2024-01-08,14.18,14.46,14.135,14.315,13652800,196135179.5,TQBR
2024-01-09,14.39,14.39,14.105,14.15,12704800,180605762,TQBR
2024-01-10,14.19,14.4,14.135,14.2,20891800,297238354,TQBR
2024-01-11,14.34,14.34,13.7,13.995,24124100,337538875,TQBR
2024-01-12,14,14.08,13.705,13.81,23023400,318222543.5,TQBR
2024-01-15,13.85,13.96,13.76,13.805,13083600,181283925.5,TQBR
2024-01-16,13.805,13.86,13.56,13.755,20835400,285187703,TQBR
2024-01-17,13.795,13.9,13.63,13.85,15155000,209337893,TQBR
2024-01-18,13.9,13.9,13.7,13.7,9904100,136548026.5,TQBR
2024-01-19,13.765,13.78,13.5,13.7,13604100,186094078.5,TQBR
2024-01-22,13.71,14.045,13.635,13.9,24588100,340599483.5,TQBR
2024-01-23,14.1,14.95,13.935,14.895,132442400,1910239537,TQBR
2024-01-24,14.97,15.59,14.66,14.78,164047600,2490609054,TQBR
2024-01-25,14.88,15.19,14.6,14.975,45665400,680953516.5,TQBR
2024-01-26,15.13,15.34,14.83,14.965,41773600,631821221,TQBR
2024-01-29,15,15.165,14.875,15.05,25012600,375609616,TQBR
2024-01-30,15.105,15.6,15.05,15.28,68644700,1053751167,TQBR
2024-01-31,15.42,15.835,15.235,15.465,64351200,1000534934.5,TQBR
2024-02-01,15.56,15.67,15.315,15.34,27503500,426278784.5,TQBR
2024-02-02,15.34,15.4,15.02,15.3,30495100,463407324.5,TQBR
2024-02-05,15.37,15.475,15.22,15.405,27669400,425044360,TQBR
2024-02-06,15.445,16.165,15.415,16.065,61259500,967924638.5,TQBR
2024-02-07,16.07,18.25,16.065,17.69,347733900,6080004819.5,TQBR
2024-02-08,17.795,18.94,17.78,18.06,263518900,4827177952,TQBR
2024-02-09,18.3,18.3,17.07,17.355,113769800,1979656640,TQBR
2024-02-12,17.4,17.48,16.855,17.21,55526300,948181863,TQBR
2024-02-13,17.25,17.97,17.22,17.8,87905900,1555198473,TQBR
2024-02-14,17.9,17.955,17.445,17.54,31862700,565209645,TQBR
2024-02-15,17.585,17.76,17.2,17.51,39025000,681068931.5,TQBR
2024-02-16,17.6,17.875,17.285,17.48,72599400,1281327429,TQBR
2024-02-19,18.575,18.86,17.8,18.85,221001600,4054226467.5,TQBR
2024-02-20,18.865,19.15,17.67,18.25,138571800,2562280899.5,TQBR
2024-02-21,18.2,18.45,17.7,18.19,84738500,1530854464.5,TQBR
2024-02-22,18.2,18.35,18.005,18.17,39798400,723790012,TQBR
2024-02-26,18.3,18.78,18.27,18.645,52137800,966785285,TQBR
2024-02-27,18.76,18.76,18.25,18.475,33259300,614607980,TQBR
2024-02-28,18.525,18.525,18.07,18.285,28203200,516115865.5,TQBR
2024-02-29,18.32,18.58,18.225,18.475,38746400,713405723.5,TQBR
2024-03-01,18.475,19.3,18.475,19.28,158723800,3013897230,TQBR
2024-03-04,19.385,19.48,18.92,19.17,96795200,1860515144.5,TQBR
2024-03-05,19.2,19.33,18.92,19.28,33942000,649390562,TQBR
2024-03-06,19.35,19.695,19.155,19.565,74222000,1445899244,TQBR
2024-03-07,19.62,19.815,19.5,19.59,56524200,1110011860,TQBR
2024-03-11,19.695,19.77,18.58,19.4,49216400,960011999.5,TQBR
2024-03-12,19.45,19.45,18.6,19.215,45409900,869923380,TQBR
2024-03-13,19.265,19.44,19.1,19.175,28328500,545799652.5,TQBR
2024-03-14,19.18,19.225,18.66,19.03,45681800,864056605,TQBR
2024-03-15,19.225,19.295,18.86,18.97,35708000,680740682,TQBR
2024-03-18,19.06,19.47,18.65,19.32,55892200,1066326334.5,TQBR
2024-03-19,19.3,19.44,18.8,19.06,38955700,748416732,TQBR
2024-03-20,19.125,19.165,18.735,18.865,24715200,468651734,TQBR
2024-03-21,18.95,19.115,18.815,19.1,17555600,333678808,TQBR
2024-03-22,19.155,19.225,18.45,18.79,38661700,728016566,TQBR
2024-03-25,18.77,19,18.655,18.905,21496100,405273803,TQBR
2024-03-26,18.91,19.175,18.88,19.03,17292700,328845888.5,TQBR
2024-03-27,19.05,19.085,18.77,18.94,12169600,230589603,TQBR
2024-03-28,18.965,18.98,18.81,18.955,13051200,246509790.5,TQBR
2024-03-29,18.97,19.445,18.97,19.35,47889700,923972577,TQBR
2024-04-01,19.3,20,19.3,19.905,86280800,1701575638,TQBR
2024-04-02,19.91,19.95,19.58,19.76,28718100,567655854.5,TQBR
2024-04-03,19.78,20.3,19.71,20.255,96927200,1945060537.5,TQBR
2024-04-04,20.255,20.26,19.955,20.05,25923800,520909903,TQBR
2024-04-05,20.05,20.17,19.815,19.98,19276900,386274398.5,TQBR
2024-04-08,20,20.05,19.86,20.01,16881600,337370075,TQBR
2024-04-09,20.02,20.02,19.505,19.685,31837300,628193702,TQBR
2024-04-10,19.695,19.95,19.42,19.545,26101900,512098472.5,TQBR
2024-04-11,19.58,19.68,19.21,19.285,20254300,393412228.5,TQBR
2024-04-12,19.285,19.445,19.16,19.23,20158400,388839617.5,TQBR
2024-04-15,19.3,19.615,19.25,19.41,21926800,426382036,TQBR
2024-04-16,19.455,19.49,19.225,19.27,10446300,201889436,TQBR
2024-04-17,19.37,19.37,19.1,19.145,10991300,210771276.5,TQBR
2024-04-18,19.12,19.15,18.86,19.08,16485900,313238525.5,TQBR
2024-04-19,19.1,19.19,18.94,19.165,10629000,203057480.5,TQBR
2024-04-22,19.17,19.4,19.035,19.125,16949100,326231982.5,TQBR
2024-04-23,19.185,19.25,18.92,18.985,13243500,252499579.5,TQBR
2024-04-24,18.99,19.115,18.84,19.035,11485100,218205531,TQBR
2024-04-25,19.055,19.145,18.92,19.07,10165200,193203537.5,TQBR
2024-04-26,19.07,19.19,19,19.075,12909700,246707377,TQBR
2024-04-27,19.085,19.25,19.045,19.14,11597300,222157425,TQBR
2024-04-29,19.14,19.175,19.015,19.15,5671500,108245948.5,TQBR
2024-04-30,19.18,19.18,19.02,19.05,5303000,101191602.5,TQBR
2024-05-02,19.03,19.065,18.875,18.935,6828800,129624208,TQBR
2024-05-03,19,19,18.035,18.61,79383100,1461812371,TQBR
2024-05-06,18.515,18.545,18.225,18.265,22266600,408397467.5,TQBR
2024-05-07,18.265,18.89,18.22,18.65,27636900,512752893,TQBR
2024-05-08,18.8,19.29,18.55,19.24,30784400,587807347.5,TQBR
2024-05-10,19.235,19.71,19.195,19.695,27182600,531314652.5,TQBR
2024-05-13,19.9,20.245,19.875,20.2,52600500,1057446999.5,TQBR
2024-05-14,20.34,20.495,19.715,19.8,63717000,1282856793,TQBR
2024-05-15,19.795,19.965,19.4,19.82,50192700,991631523.5,TQBR
2024-05-16,19.38,19.65,18.8,19.36,126112700,2429517599.5,TQBR
2024-05-17,19.36,19.445,19.005,19.24,19859500,382401012,TQBR
2024-05-20,19.3,19.3,18.58,18.825,40621900,767251743.5,TQBR
2024-05-21,18.99,19.2,18.8,18.975,14972600,283567267,TQBR
2024-05-22,19.03,19.085,18.725,18.85,11257500,212867040,TQBR
2024-05-23,18.995,18.995,18.49,18.74,19598300,366665850,TQBR
2024-05-24,18.655,18.78,18.095,18.22,30363200,555917378,TQBR
2024-05-27,18.22,18.375,17.65,17.935,36127200,646904774,TQBR
2024-05-28,18.09,18.3,17.725,17.975,19116600,346587749,TQBR
2024-05-29,18.03,18.105,17.565,18.065,27444700,488061344,TQBR
2024-05-30,18.105,18.11,17.31,17.42,20742100,366861150,TQBR
2024-05-31,17.43,17.695,16.565,17.06,46494700,797639242.5,TQBR
2024-06-03,17.06,17.575,16.595,17.55,46890800,803123005.5,TQBR
2024-06-04,17.61,18.4,17.345,18.305,38365700,691553914,TQBR
2024-06-05,18.315,18.62,17.785,17.85,38290600,697101067,TQBR
2024-06-06,17.845,18.04,17.52,17.76,15151900,268863735.5,TQBR
2024-06-07,17.84,18.5,17.8,18.24,22270700,404487644,TQBR
2024-06-10,18.2,18.48,17.9,18.055,19900100,362528710,TQBR
2024-06-11,18.06,18.075,17.62,17.845,13646800,243124050.5,TQBR
2024-06-13,17,18.1,16.38,17.985,25486700,447702365.5,TQBR
2024-06-14,17.995,18.16,17.825,18.125,12050500,216812082,TQBR
2024-06-17,18.12,18.18,17.72,17.82,9767100,175221679.5,TQBR
2024-06-18,17.86,17.86,17.33,17.415,16836200,295583550.5,TQBR
2024-06-19,17.48,17.49,16.65,16.76,29135200,495200629,TQBR
2024-06-20,16.8,17.365,16.765,17.33,17881500,305086530,TQBR
2024-06-21,17.395,17.595,17.11,17.165,9245900,159922628,TQBR
2024-06-24,17,17.085,16.65,16.735,26557800,446823700.5,TQBR
2024-06-25,16.74,17.115,16.42,17.07,23875300,399128084.5,TQBR
2024-06-26,17.07,17.3,17.01,17.25,13614200,233870652.5,TQBR
2024-06-27,17.3,17.3,16.85,16.95,12942200,219847450,TQBR
2024-06-28,16.905,16.965,16.815,16.9,8847600,149472607,TQBR
2024-07-01,16.91,17.1,16.755,16.885,17955600,302730040,TQBR
2024-07-02,16.9,16.93,16.635,16.79,24393400,408770176,TQBR
2024-07-03,16.8,16.845,16.22,16.435,30806300,508785965.5,TQBR
2024-07-04,16.435,16.74,16.055,16.565,52401400,858726722.5,TQBR
2024-07-05,16.54,16.8,16.31,16.6,32186200,533755216.5,TQBR
2024-07-08,15.635,15.995,15.63,15.7,49756100,786505612.5,TQBR
2024-07-09,15.7,15.7,14.76,15.0,73776900,1113143528,TQBR
2024-07-10,15,15.23,14.015,14.2,58592100,863468750.5,TQBR
2024-07-11,14.3,15.32,14.2,15.045,129039600,1921124635,TQBR
2024-07-12,15.135,15.135,14.17,14.39,77553800,1117586314,TQBR
2024-07-15,14.42,14.45,13.68,14.06,96074400,1345457299.5,TQBR
2024-07-16,13.97,14.24,13.75,14.16,68351100,953576723.5,TQBR
2024-07-17,14.145,14.355,14,14.09,40439800,574451375.5,TQBR
2024-07-18,14.125,14.88,13.915,14.865,59999200,870404215,TQBR
2024-07-19,14.97,15.53,14.575,15.355,63539000,962919074,TQBR
2024-07-22,15.405,15.79,15.27,15.515,54406700,845866320,TQBR
2024-07-23,15.45,15.55,15.075,15.5,32628000,500409950.5,TQBR
2024-07-24,15.49,15.545,15.27,15.32,17558900,270723024.5,TQBR
2024-07-25,15.43,15.665,15.34,15.365,20525700,317971622,TQBR
2024-07-26,15.47,15.7,14.715,14.82,59258600,896091717.5,TQBR
2024-07-29,14.7,14.79,14.39,14.455,29606500,430085498.5,TQBR
2024-07-30,14.5,14.935,14.475,14.865,17387600,256979038.5,TQBR
2024-07-31,14.92,14.975,14.61,14.855,15559800,229900918,TQBR
2024-08-01,14.85,15.065,14.725,14.775,16773100,250466271.5,TQBR
2024-08-02,14.77,14.795,14.355,14.44,24575100,356947559.5,TQBR
2024-08-05,14.29,14.325,14,14.145,29967300,422573801,TQBR
2024-08-06,14.3,14.425,14.04,14.17,13021700,184890558.5,TQBR
2024-08-07,14.195,14.65,14.05,14.65,19829100,284912296,TQBR
2024-08-08,14.66,14.71,14.25,14.375,11095800,160910035,TQBR
2024-08-09,14.375,14.6,14.215,14.4,10120300,146428899,TQBR
2024-08-12,14.45,14.5,14.3,14.445,10572900,152366809.5,TQBR
2024-08-13,14.42,14.65,14.42,14.595,10882700,157708058,TQBR
2024-08-14,14.575,14.66,14.28,14.315,10960000,158747396,TQBR
2024-08-15,14.3,14.37,14.075,14.185,22333300,317192214,TQBR
2024-08-16,14.175,14.26,14.045,14.06,14828600,209466080.5,TQBR
2024-08-19,14.08,14.165,13.88,13.98,29555100,413850771,TQBR
2024-08-20,14.005,14.35,13.975,14.135,21621500,304946603.5,TQBR
