date,open,high,low,close,volume,value,board
2006-08-29,0.018,0.018,0.015,0.018,300,5.1,EQNE
2006-08-30,0.018,0.021,0.018,0.02,819600,16101.6,EQNE
2006-09-01,0.018,0.018,0.018,0.018,31900,574.2,EQNE
2006-09-04,0.018,0.018,0.018,0.018,4429000,79722,EQNE
2006-09-05,0.018,0.018,0.018,0.018,100,1.8,EQNE
2006-09-06,0.018,0.018,0.018,0.018,601100,10819.8,EQNE
2006-09-07,0.018,0.02,0.018,0.02,8645900,164484,EQNE
2006-09-08,0.018,0.018,0.018,0.018,114500,2061,EQNE
2006-09-12,0.018,0.02,0.018,0.019,1466100,27756.5,EQNE
2006-09-20,0.018,0.019,0.018,0.019,3882200,69915,EQNE
2006-09-21,0.018,0.018,0.018,0.018,9701000,174618,EQNE
2006-09-22,0.018,0.018,0.018,0.018,3118600,56134.8,EQNE
2006-09-26,0.018,0.018,0.017,0.017,4792600,81477,EQNE
2006-09-27,0.017,0.018,0.017,0.018,21941100,373014.8,EQNE
2006-10-02,0.019,0.019,0.019,0.019,100,1.9,EQNE
2006-10-03,0.018,0.018,0.017,0.018,930500,16748.6,EQNE
2006-10-04,0.018,0.018,0.018,0.018,419900,7558.2,EQNE
2006-10-05,0.018,0.018,0.018,0.018,100000,1800,EQNE
2006-10-06,0.019,0.019,0.019,0.019,3400,64.6,EQNE
2006-10-10,0.019,0.019,0.018,0.019,565500,10199,EQNE
2006-10-11,0.019,0.019,0.019,0.019,42600,809.4,EQNE
2006-10-12,0.019,0.019,0.018,0.019,117200,2149.6,EQNE
2006-10-13,0.019,0.019,0.018,0.019,2025000,36475,EQNE
2006-10-16,0.018,0.019,0.018,0.019,460000,8290,EQNE
2006-10-17,0.018,0.018,0.018,0.018,1700000,30600,EQNE
2006-10-18,0.018,0.018,0.017,0.018,430000,7431,EQNE
2006-10-19,0.017,0.019,0.017,0.019,13702100,247237.8,EQNE
2006-10-23,0.018,0.018,0.018,0.018,1080100,19441.8,EQNE
2006-10-24,0.018,0.018,0.018,0.018,64000,1152,EQNE
2006-10-25,0.017,0.018,0.017,0.018,11668500,198378.9,EQNE
2006-10-26,0.018,0.018,0.018,0.018,3223200,58017.6,EQNE
2006-10-27,0.018,0.018,0.018,0.018,103400,1861.2,EQNE
2006-10-30,0.018,0.018,0.018,0.018,22400,403.2,EQNE
2006-10-31,0.018,0.018,0.018,0.018,15700,282.6,EQNE
2006-11-01,0.018,0.018,0.018,0.018,21022300,378401.4,EQNE
2006-11-02,0.018,0.019,0.018,0.018,34944000,629002.1,EQNE
2006-11-03,0.018,0.019,0.018,0.018,78228700,1483776.1,EQNE
2006-11-07,0.02,0.02,0.019,0.02,9643100,183257.9,EQNE
2006-11-09,0.018,0.019,0.018,0.018,1842900,33672.2,EQNE
2006-11-10,0.019,0.02,0.019,0.02,2172600,41280.4,EQNE
2006-11-13,0.02,0.02,0.019,0.019,925100,18326.9,EQNE
2006-11-14,0.019,0.019,0.019,0.019,1476200,28047.8,EQNE
