date,open,high,low,close,volume,value,board
2007-12-28,0.04,0.04,0.04,0.04,1000,40,EQNE
2008-01-09,0.0454,0.0454,0.0454,0.0454,7000,317.8,EQNE
2008-01-11,0.04,0.04,0.0391,0.04,235000,9399.1,EQNE
2008-01-14,0.04,0.04,0.04,0.04,3000,120,EQNE
2008-01-15,0.04,0.04,0.04,0.04,1000,40,EQNE
2008-01-16,0.04,0.04,0.04,0.04,3000,120,EQNE
2008-01-17,0.035,0.035,0.035,0.035,6000,210,EQNE
2008-01-18,0.0399,0.0399,0.0399,0.0399,34000,1356.6,EQNE
2008-01-21,0.0359,0.0359,0.0359,0.0359,1000,35.9,EQNE
2008-01-31,0.04,0.04,0.04,0.04,1000,40,EQNE
2008-02-01,0.04,0.04,0.0336,0.0336,2000,73.6,EQNE
2008-02-04,0.0377,0.0377,0.0377,0.0377,1000,37.7,EQNE
2008-02-05,0.0397,0.0397,0.0397,0.0397,1000,39.7,EQNE
2008-02-08,0.0397,0.0397,0.0397,0.0397,1000,39.7,EQNE
2008-02-11,0.0397,0.0397,0.0336,0.0396,38789000,1303328.5,EQNE
2008-02-13,0.0396,0.0396,0.0396,0.0396,1000,39.6,EQNE
2008-02-14,0.034,0.0396,0.034,0.0396,111000,3780.6,EQNE
2008-02-15,0.038,0.038,0.038,0.038,100000,3800,EQNE
2008-02-18,0.038,0.038,0.038,0.038,1000,38,EQNE
2008-02-26,0.0398,0.0398,0.038,0.038,2000,77.8,EQNE
2008-02-29,0.0369,0.0369,0.0369,0.0369,1000,36.9,EQNE
2008-03-03,0.0364,0.0364,0.0364,0.0364,1000,36.4,EQNE
2008-03-04,0.036,0.036,0.036,0.036,1000,36,EQNE
2008-03-05,0.0306,0.034,0.0306,0.034,5000,156.4,EQNE
2008-03-06,0.0334,0.0334,0.0289,0.0327,208000,6488.8,EQNE
2008-03-24,0.0261,0.0271,0.026,0.027,2971000,79779.6,EQNE
2008-03-25,0.0297,0.0297,0.0276,0.0276,339000,9398.5,EQNE
2008-03-26,0.0279,0.0283,0.0279,0.028,314000,8800.3,EQNE
2008-03-27,0.028,0.028,0.028,0.028,3931000,110068,EQNE
2008-03-28,0.0285,0.029,0.0285,0.0285,98000,2793.9,EQNE
2008-04-01,0.0291,0.0349,0.0291,0.0325,6911000,204015.9,EQNE
2008-04-02,0.032,0.032,0.0301,0.0301,263000,7920.1,EQNE
2008-04-04,0.0301,0.0301,0.03,0.03,2357000,70919.6,EQNE
2008-04-07,0.0309,0.032,0.0309,0.032,3000,94.8,EQNE
2008-04-09,0.0312,0.0312,0.0312,0.0312,86000,2683.2,EQNE
2008-04-10,0.0302,0.0302,0.0302,0.0302,242000,7308.4,EQNE
